"","BB_1_12S","BB_2_12S","BB_3_12S","BB_4_12S","MB_1_12S","MB_2_12S","MB_3_12S","MuB_1_12S","MuB_2_12S","MuB_3_12S","MuB_4_12S","PB_e1_12S","PB_e2_12S","PB_e3_12S","PL_1_12S","PL_2_12S","PL_3_12S","PL_4_12S","SB_1_12S","SB_2_12S","SB_3_12S","SS3_1_12S","SS3_2_12S","SS3_3_12S","SS4_1_12S","SS4_2_12S","SS4_3_12S","WS_1_12S","WS_2_12S","WS_3_12S","WS_4_12S"
"PB_e2_12S",87.727826049058,87.7633882439899,87.7604204704804,87.7203580148162,19.0657886183051,19.0657886183051,19.0657886183051,73.0482849031117,73.0446300705873,73.041756236899,73.0554555022697,0,0,0,74.3551118686107,74.3551118686107,74.3551118686107,74.3551118686107,4.40233895477866,4.40450122389889,4.40221841778471,14.0095292874118,14.0095292874118,14.0095292874118,15.4595212874965,15.4423835477336,15.4268821206179,83.418588501932,83.4282796662134,83.4363642622061,83.4113612952787
"PB_e3_12S",87.7273862280125,87.7629484229443,87.7599806494349,87.7199181937707,19.0653487972595,19.0653487972595,19.0653487972595,73.0478450820662,73.0441902495418,73.0413164158535,73.0550156812242,0,0,0,74.3546720475652,74.3546720475652,74.3546720475652,74.3546720475652,4.40189913373313,4.40406140285336,4.40177859673918,14.0090894663663,14.0090894663663,14.0090894663663,15.4590814664509,15.4419437266881,15.4264422995724,83.4181486808865,83.4278398451679,83.4359244411606,83.4109214742332
"PL_1_12S",13.3737567326122,13.409318927544,13.4063511540346,13.3662886983703,55.2894033913687,55.2894033913687,55.2894033913687,137.402536122989,137.398881290464,137.396007456776,137.409706722147,74.3566819198218,74.3551118686107,74.3546720475652,0,0,0,0,75.4517625328206,75.4539248019409,75.4516419958267,60.5238170760504,60.5238170760504,60.5238170760504,60.1525764182245,60.1354386784616,60.119937251346,147.772839721809,147.78253088609,147.790615482083,147.765612515156
"PL_2_12S",13.3737567326122,13.409318927544,13.4063511540346,13.3662886983703,55.2894033913687,55.2894033913687,55.2894033913687,137.402536122989,137.398881290464,137.396007456776,137.409706722147,74.3566819198218,74.3551118686107,74.3546720475652,0,0,0,0,75.4517625328206,75.4539248019409,75.4516419958267,60.5238170760504,60.5238170760504,60.5238170760504,60.1525764182245,60.1354386784616,60.119937251346,147.772839721809,147.78253088609,147.790615482083,147.765612515156
"PL_3_12S",13.3737567326122,13.409318927544,13.4063511540346,13.3662886983703,55.2894033913687,55.2894033913687,55.2894033913687,137.402536122989,137.398881290464,137.396007456776,137.409706722147,74.3566819198218,74.3551118686107,74.3546720475652,0,0,0,0,75.4517625328206,75.4539248019409,75.4516419958267,60.5238170760504,60.5238170760504,60.5238170760504,60.1525764182245,60.1354386784616,60.119937251346,147.772839721809,147.78253088609,147.790615482083,147.765612515156
"PL_4_12S",13.3737567326122,13.409318927544,13.4063511540346,13.3662886983703,55.2894033913687,55.2894033913687,55.2894033913687,137.402536122989,137.398881290464,137.396007456776,137.409706722147,74.3566819198218,74.3551118686107,74.3546720475652,0,0,0,0,75.4517625328206,75.4539248019409,75.4516419958267,60.5238170760504,60.5238170760504,60.5238170760504,60.1525764182245,60.1354386784616,60.119937251346,147.772839721809,147.78253088609,147.790615482083,147.765612515156
"SB_1_12S",88.824476713268,88.8600389081998,88.8570711346904,88.8170086790261,20.162439282515,20.162439282515,20.162439282515,74.9750335170576,74.9713786845331,74.9685048508449,74.9822041162156,4.40390900598968,4.40233895477866,4.40189913373313,75.4517625328206,75.4517625328206,75.4517625328206,75.4517625328206,0,0,0,14.9283461843891,14.9283461843891,14.9283461843891,16.5561719517064,16.5390342119435,16.5235327848278,85.3453371158779,85.3550282801593,85.3631128761519,85.3381099092245
"SB_2_12S",88.8266389823882,88.86220117732,88.8592334038106,88.8191709481463,20.1646015516352,20.1646015516352,20.1646015516352,74.9771957861778,74.9735409536533,74.9706671199651,74.9843663853358,4.40607127510991,4.40450122389889,4.40406140285336,75.4539248019409,75.4539248019409,75.4539248019409,75.4539248019409,0,0,0,14.9305084535094,14.9305084535094,14.9305084535094,16.5583342208266,16.5411964810638,16.5256950539481,85.3474993849981,85.3571905492795,85.3652751452721,85.3402721783448
"SB_3_12S",88.824356176274,88.8599183712058,88.8569505976964,88.8168881420321,20.162318745521,20.162318745521,20.162318745521,74.9749129800636,74.9712581475392,74.9683843138509,74.9820835792216,4.40378846899573,4.40221841778471,4.40177859673918,75.4516419958267,75.4516419958267,75.4516419958267,75.4516419958267,0,0,0,14.9282256473952,14.9282256473952,14.9282256473952,16.5560514147124,16.5389136749496,16.5234122478339,85.3452165788839,85.3549077431653,85.362992339158,85.3379893722306
"SS3_1_12S",73.8965312564977,73.9320934514295,73.9291256779201,73.8890632222558,5.23449382574469,5.23449382574469,5.23449382574469,77.0569535417898,77.0532987092654,77.0504248755771,77.0641241409478,14.0110993386228,14.0095292874118,14.0090894663663,60.5238170760504,60.5238170760504,60.5238170760504,60.5238170760504,14.9283461843891,14.9305084535094,14.9282256473952,0,0,0,1.6282264949361,1.61108875517324,1.59558732805755,87.4272571406101,87.4369483048915,87.4450329008841,87.4200299339568
